typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","246","FIN","Finland","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","713966971.14",,"713966971.14","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","251","FRA","France","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","23879983782.51",,"23879983782.51","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","300","GRC","Greece","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7227072747.69",,"7227072747.69","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4947222463.74",,"4947222463.74","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","348","HUN","Hungary","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2200871636.7",,"2200871636.7","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","352","ISL","Iceland","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","48440236.98",,"48440236.98","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","360","IDN","Indonesia","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","247466428.05",,"247466428.05","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","372","IRL","Ireland","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","18167194964.76",,"18167194964.76","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","380","ITA","Italy","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","18889586324.94",,"18889586324.94","0","true","false",
"S","A","20220101","2022","52","2022","276","DEU","Germany","M","Import","392","JPN","Japan","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6259321056.72",,"6259321056.72","0","true","false",
